agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2,senate_requestor4
Department of Transportation,2150000,,H,Vargas,,,,,,
Department of Transportation,2187628,,H,Himes,,,,,,
Department of Transportation,2250000,,H,DeLauro,,,,,,
Department of Transportation,2320000,,H,Perlmutter,,,,,,
Environmental Protection Agency,2400000,,H,Wexton,,,,,,
Environmental Protection Agency,2432000,,H,McEachin,,,,,,
Environmental Protection Agency,2500000,,H,Calvert,,,,,,
Environmental Protection Agency,2500000,,H,Miller-Meeks,,,,,,
Environmental Protection Agency,2500000,,H,Pressley,,,,,,
Department of Transportation,2500000,,H,Bost,,,,,,
Department of Transportation,2500000,,H,Bost,,,,,,
Environmental Protection Agency,2578000,,H,Buchanan,,,,,,
Department of Transportation,2675000,,H,Meuser,,,,,,
Environmental Protection Agency,2770000,,H,Palazzo,,,,,,
Department of Transportation,2800000,,H,Cleaver,,,,,,
Environmental Protection Agency,2840000,,H,Brownley,,,,,,
Department of Transportation,2929745,,H,Wenstrup,,,,,,
Environmental Protection Agency,3000000,,H,McNerney,,,,,,
Environmental Protection Agency,3000000,,H,Salazar,,,,,,
Environmental Protection Agency,3000000,,H,Stewart,,,,,,
Environmental Protection Agency,3000000,,H,Wexton,,,,,,
Department of Transportation,3000000,,H,Valadao,,,,,,
Department of Transportation,3000000,,H,Valadao,,,,,,
Department of Transportation,3000000,,H,Khanna,,,,,,
Department of Transportation,3000000,,H,LaHood,,,,,,
Department of Transportation,3000000,,H,Balderson,,,,,,
Department of Transportation,3000000,,H,Cooper,,,,,,
Department of Transportation,3000000,,H,Sessions,,,,,,
Department of Transportation,3000000,,H,Sessions,,,,,,
Department of Transportation,3000000,,H,Sessions,,,,,,
Department of Transportation,3000000,,H,Stewart,,,,,,
Environmental Protection Agency,3200000,,H,Steube,,,,,,
Environmental Protection Agency,3200000,,H,McEachin,,,,,,
Environmental Protection Agency,3200000,,H,McEachin,,,,,,
Department of Transportation,3267000,,H,Axne,,,,,,
Department of Transportation,3332781,,H,Vargas,,,,,,
Environmental Protection Agency,3394000,,H,Crenshaw,,,,,,
Department of Transportation,3400000,,H,Luetkemeyer,,,,,,
Environmental Protection Agency,3412455,,H,DeLauro,,,,,,
Environmental Protection Agency,3437000,,H,Butterfield,,,,,,
Environmental Protection Agency,3500000,,H,Costa,,,,,,
Environmental Protection Agency,3500000,,H,Barr,,,,,,
Environmental Protection Agency,3500000,,H,Slotkin,,,,,,
Environmental Protection Agency,3500000,,H,Walberg,,,,,,
Environmental Protection Agency,3500000,,H,Bacon,,,,,,
Environmental Protection Agency,3500000,,H,Cartwright,,,,,,
Environmental Protection Agency,3500000,,H,Underwood,,,,,,
Environmental Protection Agency,3500000,,H,Slotkin,,,,,,
Environmental Protection Agency,3500000,,H,Long,,,,,,
Environmental Protection Agency,3500000,,H,Wenstrup,,,,,,
Environmental Protection Agency,3500000,,H,Fleischmann,,,,,,
Environmental Protection Agency,3500000,,H,Vela,,,,,,
Environmental Protection Agency,3500000,,H,"Gonzalez, Vicente",,,,,,
Department of Transportation,3500000,,H,LaHood,,,,,,
Department of Transportation,4000000,,H,Womack,,,,,,
Department of Transportation,4000000,,H,Dunn,,,,,,
Department of Transportation,4000000,,H,Napolitano,,,,,,
Department of Transportation,4000000,,H,Stewart,,,,,,
National Park Service,4124500,,H,Kirkpatrick,,,,,,
Department of Transportation,5000000,,H,Latta,,,,,,
Department of Transportation,5000000,,H,"Allred, Van Duyne",,,,,,
Department of Transportation,5000000,,H,Allred,,,,,,
Department of Transportation,5000000,,H,"Veasey, Van Duyne",,,,,,
Department of Transportation,5000000,,H,Van Duyne,,,,,,
Department of Transportation,5000000,,H,Newhouse,,,,,,
Department of Transportation,5000000,,H,Calvert,,,,,,
Department of Transportation,5000000,,H,Tony Cardenas,,,,,,
Department of Transportation,5000000,,H,Loudermilk,,,,,,
Department of Transportation,5000000,,H,Hinson,,,,,,
Department of Transportation,5000000,,H,Bost,,,,,,
Department of Transportation,5000000,,H,Barr,,,,,,
Department of Transportation,5000000,,H,Scalise,,,,,,
Department of Transportation,5000000,,H,Letlow,,,,,,
Department of Transportation,5000000,,H,Troy A. Carter,,,,,,
Department of Transportation,5000000,,H,Brown,,,,,,
Department of Transportation,5000000,,H,Bacon,,,,,,
Department of Transportation,5000000,,H,Chabot,,,,,,
Department of Transportation,5000000,,H,Cole,,,,,,
Department of Transportation,5000000,,H,Cole,,,,,,
Department of Transportation,5000000,,H,Cuellar,,,,,,
Air NG,6500000,,H,Simpson,,,,,,
Navy,7000000,,H,Rutherford,,,,,,
Army,10000000,,H,"Gonzales, Tony",,,,,,
Air Force,22000000,,H,"Gonzales, Tony",,,,,,
Department of Labor,500000,,H,Brown,,,,,,
Department of Labor,1200000,,H,Gallego,,,,,,
Department of Labor,1000000,,H,Omar,,,,,,
Department of Labor,500000,,H,Keating,,,,,,
Department of Labor,2000000,,H,Wasserman Schultz,,,,,,
Department of Labor,2000000,,H,Matsui,,,,,,
Department of Labor,350000,,H,Cicilline,,,,,,
Department of Labor,1600000,,H,Manning,,,,,,
Department of Labor,1000000,,H,Takano,,,,,,
Department of Labor,250000,,H,Roybal-Allard,,,,,,
Department of Labor,100000,,H,Simpson,,,,,,
Department of Labor,900000,,H,Schneider,,,,,,
Department of Labor,200000,,H,Suozzi,,,,,,
Department of Labor,100000,,H,Rush,,,,,,
Department of Labor,1500000,,H,Sewell,,,,,,
Department of Labor,1200000,,H,Kahele,,,,,,
Department of Labor,300000,,H,Deutch,,,,,,
Department of Labor,500000,,H,Norton,,,,,,
Department of Labor,250000,,H,Reed,,,,,,
Department of Labor,100000,,H,Andre Carson,,,,,,
Department of Labor,1000000,,H,Connolly,,,,,,
Department of Labor,1500000,,H,Steube,,,,,,
Department of Labor,250000,,H,Raskin,,,,,,
Department of Labor,150000,,H,Horsford,,,,,,
Department of Labor,250000,,H,Gibbs,,,,,,
Department of Labor,440000,,H,Barr,,,,,,
Department of Labor,300000,,H,Aguilar,,,,,,
Department of Labor,1000000,,H,Adams,,,,,,
Department of Labor,20000,,H,DeGette,,,,,,
Department of Labor,1000000,,H,Trone,,,,,,
Department of Labor,200000,,H,Morelle,,,,,,
Department of Labor,275000,,H,Jayapal,,,,,,
Department of Labor,500000,,H,Gimenez,,,,,,
Department of Labor,500000,,H,"Doyle, Michael F.",,,,,,
Department of Labor,325000,,H,Payne,,,,,,
Department of Labor,575000,,H,"Boyle, Brendan F.",,,,,,
Department of Labor,525000,,H,Titus,,,,,,
Department of Labor,350000,,H,Gomez,,,,,,
Department of Labor,250000,,H,Takano,,,,,,
Department of Labor,1000000,,H,Scanlon,,,,,,
Department of Labor,525000,,H,Scanlon,,,,,,
Department of Labor,600000,,H,Kildee,,,,,,
Department of Labor,2000000,,H,Brown,,,,,,
Department of Labor,300000,,H,Tony Cardenas,,,,,,
Department of Labor,425000,,H,Foster,,,,,,
Department of Labor,275000,,H,Lofgren,,,,,,
Department of Labor,775000,,H,Demings,,,,,,
Department of Labor,500000,,H,Waters,,,,,,
Department of Labor,850000,,H,Tlaib,,,,,,
Department of Labor,1000000,,H,Lieu,,,,,,
Department of Labor,975000,,H,Case,,,,,,
Department of Labor,975000,,H,Foster,,,,,,
Department of Labor,450000,,H,Houlahan,,,,,,
Department of Labor,600000,,H,Andre Carson,,,,,,
Department of Labor,100000,,H,Houlahan,,,,,,
Department of Labor,175000,,H,Nydia M.,,,,,,
Department of Labor,1000000,,H,Bonamici,,,,,,
Department of Health & Human Services,150000,,H,Newman,,,,,,
Department of Health & Human Services,300000,,H,Quigley,,,,,,
Department of Health & Human Services,2000000,,H,Bush,,,,,,
Department of Health & Human Services,1000000,,H,Scanlon,,,,,,
Department of Health & Human Services,300000,,H,Walberg,,,,,,
Department of Health & Human Services,800000,,H,Long,,,,,,
Department of Health & Human Services,250000,,H,Bass,,,,,,
Department of Health & Human Services,1000000,,H,Crow,,,,,,
Department of Health & Human Services,150000,,H,Eshoo,,,,,,
Department of Health & Human Services,450000,,H,Griffith,,,,,,
Department of Health & Human Services,50000,,H,Nanette Diaz Barragan,,,,,,
Department of Health & Human Services,300000,,H,Guthrie,,,,,,
Department of Health & Human Services,320000,,H,Herrera Beutler,,,,,,
Department of Health & Human Services,1000000,,H,Lofgren,,,,,,
Department of Health & Human Services,1000000,,H,Lieu,,,,,,
Department of Health & Human Services,2000000,,H,Newhouse,,,,,,
Department of Health & Human Services,2000000,,H,Kinzinger,,,,,,
Department of Health & Human Services,1000000,,H,Ryan,,,,,,
Department of Health & Human Services,250000,,H,Guthrie,,,,,,
Department of Health & Human Services,500000,,H,Fitzpatrick,,,,,,
Department of Health & Human Services,1000000,,H,Huffman,,,,,,
Department of Health & Human Services,1150000,,H,Adams,,,,,,
Department of Health & Human Services,700000,,H,Nanette Diaz Barragan,,,,,,
Department of Health & Human Services,200000,,H,Adams,,,,,,
Department of Health & Human Services,725000,,H,Aderholt,,,,,,
Department of Health & Human Services,2000000,,H,Gottheimer,,,,,,
Department of Health & Human Services,1000000,,H,Bush,,,,,,
Department of Health & Human Services,1150000,,H,"Frankel, Lois",,,,,,
Department of Health & Human Services,1000000,,H,DeGette,,,,,,
Department of Health & Human Services,925000,,H,Escobar,,,,,,
Department of Health & Human Services,975000,,H,McGovern,,,,,,
Department of Health & Human Services,430000,,H,"Davis, Rodney",,,,,,
Department of Health & Human Services,1000000,,H,Wenstrup,,,,,,
Department of Health & Human Services,850000,,H,"Allred, Veasey",,,,,,
Department of Health & Human Services,1600000,,H,Schiff,,,,,,
Department of Health & Human Services,400000,,H,Fitzgerald,,,,,,
Department of Health & Human Services,2000000,,H,Norton,,,,,,
Department of Health & Human Services,20000,,H,Rush,,,,,,
Department of Health & Human Services,350000,,H,Cohen,,,,,,
Department of Health & Human Services,500000,,H,Schrier,,,,,,
Department of Health & Human Services,2325000,,H,"Ruppersberger, Sarbanes",,,,,,
Department of Health & Human Services,100000,,H,Omar,,,,,,
Department of Health & Human Services,450000,,H,Napolitano,,,,,,
Department of Health & Human Services,700000,,H,Calvert,,,,,,
Department of Health & Human Services,2000000,,H,Pallone,,,,,,
Department of Health & Human Services,100000,,H,McKinley,,,,,,
Department of Health & Human Services,1000000,,H,Barr,,,,,,
Department of Health & Human Services,185000,,H,Grijalva,,,,,,
Department of Health & Human Services,1000000,,H,Ruiz,,,,,,
Department of Health & Human Services,500000,,H,Beatty,,,,,,
Department of Health & Human Services,1200000,,H,Sablan,,,,,,
Department of Health & Human Services,400000,,H,Garamendi,,,,,,
Department of Health & Human Services,500000,,H,Casten,,,,,,
Department of Health & Human Services,700000,,H,Pappas,,,,,,
Department of Health & Human Services,2000000,,H,Bilirakis,,,,,,
Department of Health & Human Services,250000,,H,Bost,,,,,,
Department of Health & Human Services,500000,,H,Norcross,,,,,,
Department of Health & Human Services,1500000,,H,"Doyle, Michael F.",,,,,,
Department of Health & Human Services,1050000,,H,Foster,,,,,,
Department of Health & Human Services,375000,,H,Wexton,,,,,,
Department of Health & Human Services,800000,,H,Beyer,,,,,,
Department of Health & Human Services,4000000,,H,"Hoyer, Brown",,,,,,
Department of Health & Human Services,800000,,H,Connolly,,,,,,
Department of Health & Human Services,1000000,,H,Khanna,,,,,,
Department of Health & Human Services,2000000,,H,Cartwright,,,,,,
Department of Health & Human Services,550000,,H,Courtney,,,,,,
Department of Health & Human Services,275000,,H,Blunt Rochester,,,,,,
Department of Health & Human Services,750000,,H,Balderson,,,,,,
Department of Health & Human Services,1050000,,H,Panetta,,,,,,
Department of Health & Human Services,100000,,H,Fitzpatrick,,,,,,
Department of Health & Human Services,925000,,H,Nanette Diaz Barragan,,,,,,
Department of Health & Human Services,200000,,H,Long,,,,,,
Department of Health & Human Services,2000000,,H,Buchanan,,,,,,
Department of Health & Human Services,1200000,,H,Escobar,,,,,,
Department of Health & Human Services,1000000,,H,Sherman,,,,,,
Department of Health & Human Services,1450000,,H,Kirkpatrick,,,,,,
Department of Health & Human Services,150000,,H,Beatty,,,,,,
Department of Health & Human Services,2000000,,H,Kaptur,,,,,,
Department of Health & Human Services,2000000,,H,Jesus G. ‘‘Chuy'' Garcia,,,,,,
Department of Health & Human Services,2000000,,H,Fleischmann,,,,,,
Department of Health & Human Services,650000,,H,Reschenthaler,,,,,,
Department of Health & Human Services,250000,,H,Andre Carson,,,,,,
Department of Health & Human Services,2000000,,H,Wasserman Schultz,,,,,,
Department of Health & Human Services,750000,,H,Meng,,,,,,
Department of Health & Human Services,475000,,H,Costa,,,,,,
Department of Health & Human Services,250000,,H,Rush,,,,,,
Department of Health & Human Services,1200000,,H,Lofgren,,,,,,
Department of Health & Human Services,2000000,,H,Cuellar,,,,,,
Department of Health & Human Services,1000000,,H,Lynch,,,,,,
Department of Health & Human Services,1150000,,H,Connolly,,,,,,
Department of Health & Human Services,250000,,H,Schakowsky,,,,,,
Department of Health & Human Services,15000,,H,Spanberger,,,,,,
Department of Health & Human Services,1500000,,H,Pascrell,,,,,,
Department of Health & Human Services,2000000,,H,Trahan,,,,,,
Department of Health & Human Services,2000000,,H,Keating,,,,,,
Department of Health & Human Services,200000,,H,Pocan,,,,,,
Department of Health & Human Services,500000,,H,"Davis, Danny K.",,,,,,
Department of Health & Human Services,775000,,H,Gottheimer,,,,,,
Department of Health & Human Services,775000,,H,Pascrell,,,,,,
Department of Health & Human Services,1000000,,H,Kahele,,,,,,
Department of Health & Human Services,1000000,,H,Nanette Diaz Barragan,,,,,,
Department of Health & Human Services,875000,,H,Ruppersberger,,,,,,
Department of Health & Human Services,2000000,,H,Cleaver,,,,,,
Department of Health & Human Services,1150000,,H,Lawrence,,,,,,
Department of Health & Human Services,900000,,H,Dingell,,,,,,
Department of Health & Human Services,475000,,H,Fitzpatrick,,,,,,
Department of Health & Human Services,2000000,,H,"Gonzales, Tony",,,,,,
Department of Health & Human Services,575000,,H,Sewell,,,,,,
Department of Health & Human Services,1450000,,H,Kildee,,,,,,
Department of Health & Human Services,300000,,H,Rush,,,,,,
Department of Health & Human Services,60000,,H,Underwood,,,,,,
Department of Health & Human Services,2000000,,H,"Boyle, Brendan F.",,,,,,
Department of Health & Human Services,85000,,H,Dunn,,,,,,
Department of Health & Human Services,325000,,H,"Frankel, Lois",,,,,,
Department of Health & Human Services,1500000,,H,Meeks,,,,,,
Department of Health & Human Services,300000,,H,Roybal-Allard,,,,,,
Department of Health & Human Services,1050000,,H,Case,,,,,,
Department of Health & Human Services,1000000,,H,Schneider,,,,,,
Department of Health & Human Services,1000000,,H,Meuser,,,,,,
Department of Health & Human Services,950000,,H,Crow,,,,,,
Department of Health & Human Services,2000000,,H,Crist,,,,,,
Department of Health & Human Services,600000,,H,Calvert,,,,,,
Department of Health & Human Services,2000000,,H,Meeks,,,,,,
Department of Health & Human Services,260000,,H,Katko,,,,,,
Department of Health & Human Services,775000,,H,Schiff,,,,,,
Department of Health & Human Services,2000000,,H,Troy A. Carter,,,,,,
Department of Health & Human Services,200000,,H,Fitzpatrick,,,,,,
Department of Health & Human Services,500000,,H,Auchincloss,,,,,,
Department of Health & Human Services,500000,,H,"Gonzales, Tony",,,,,,
Department of Health & Human Services,500000,,H,Bergman,,,,,,
Department of Health & Human Services,400000,,H,Lawrence,,,,,,
Department of Health & Human Services,925000,,H,Hoyer,,,,,,
Department of Health & Human Services,800000,,H,Norton,,,,,,
Department of Health & Human Services,1000000,,H,Cooper,,,,,,
Department of Health & Human Services,2000000,,H,LaHood,,,,,,
Department of Health & Human Services,440000,,H,Gimenez,,,,,,
Department of Health & Human Services,2000000,,H,"Davis, Rodney",,,,,,
Department of Health & Human Services,1000000,,H,Guest,,,,,,
Department of Health & Human Services,2000000,,H,Cleaver,,,,,,
Department of Health & Human Services,455000,,H,Reschenthaler,,,,,,
Department of Health & Human Services,2000000,,H,"Maloney, Sean",,,,,,
Department of Health & Human Services,250000,,H,"Sarbanes, Raskin",,,,,,
Department of Health & Human Services,2000000,,H,Kaptur,,,,,,
Department of Health & Human Services,105000,,H,Rutherford,,,,,,
Department of Health & Human Services,800000,,H,Meng,,,,,,
Department of Health & Human Services,760000,,H,Payne,,,,,,
Department of Health & Human Services,275000,,H,Quigley,,,,,,
Department of Health & Human Services,650000,,H,Cole,,,,,,
Department of Health & Human Services,500000,,H,Slotkin,,,,,,
Department of Health & Human Services,2000000,,H,Horsford,,,,,,
Department of Health & Human Services,2000000,,H,Malliotakis,,,,,,
Department of Health & Human Services,2000000,,H,Lucas,,,,,,
Department of Health & Human Services,700000,,H,LaHood,,,,,,
Department of Health & Human Services,250000,,H,Keating,,,,,,
Department of Health & Human Services,500000,,H,Wasserman Schultz,,,,,,
Department of Health & Human Services,2000000,,H,Buchanan,,,,,,
Department of Health & Human Services,700000,,H,"Frankel, Lois",,,,,,
Department of Health & Human Services,500000,,H,Houlahan,,,,,,
