agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2.1,senate_requestor4,party
Department of Health & Human Services,1200000,,H,Escobar,,,,,,,D
Department of Health & Human Services,1000000,,H,Sherman,,,,,,,D
Department of Health & Human Services,1450000,,H,Kirkpatrick,,,,,,,D
Department of Health & Human Services,150000,,H,Beatty,,,,,,,D
Department of Health & Human Services,2000000,,H,Kaptur,,,,,,,D
Department of Health & Human Services,2000000,,H,Fleischmann,,,,,,,R
Department of Health & Human Services,650000,,H,Reschenthaler,,,,,,,R
Department of Health & Human Services,2000000,,H,Wasserman Schultz,,,,,,,D
Department of Health & Human Services,750000,,H,Meng,,,,,,,D
Department of Health & Human Services,475000,,H,Costa,,,,,,,D
Department of Health & Human Services,250000,,H,Rush,,,,,,,D
Department of Health & Human Services,1200000,,H,Lofgren,,,,,,,D
Department of Health & Human Services,2000000,,H,Cuellar,,,,,,,D
Department of Health & Human Services,1000000,,H,Lynch,,,,,,,D
Department of Health & Human Services,1150000,,H,Connolly,,,,,,,D
Department of Health & Human Services,250000,,H,Schakowsky,,,,,,,D
Department of Health & Human Services,15000,,H,Spanberger,,,,,,,D
Department of Health & Human Services,1500000,,H,Pascrell,,,,,,,D
Department of Health & Human Services,2000000,,H,Trahan,,,,,,,D
Department of Health & Human Services,2000000,,H,Keating,,,,,,,D
Department of Health & Human Services,200000,,H,Pocan,,,,,,,D
Department of Health & Human Services,775000,,H,Gottheimer,,,,,,,D
Department of Health & Human Services,775000,,H,Pascrell,,,,,,,D
Department of Health & Human Services,1000000,,H,Kahele,,,,,,,D
Department of Health & Human Services,875000,,H,Ruppersberger,,,,,,,D
Department of Health & Human Services,2000000,,H,Cleaver,,,,,,,D
Department of Health & Human Services,1150000,,H,Lawrence,,,,,,,D
Department of Health & Human Services,900000,,H,Dingell,,,,,,,D
Department of Health & Human Services,475000,,H,Fitzpatrick,,,,,,,R
Department of Health & Human Services,575000,,H,Sewell,,,,,,,D
Department of Health & Human Services,1450000,,H,Kildee,,,,,,,D
Department of Health & Human Services,300000,,H,Rush,,,,,,,D
Department of Health & Human Services,60000,,H,Underwood,,,,,,,D
Department of Health & Human Services,85000,,H,Dunn,,,,,,,R
Department of Health & Human Services,1500000,,H,Meeks,,,,,,,D
Department of Health & Human Services,300000,,H,Roybal-Allard,,,,,,,D
Department of Health & Human Services,1050000,,H,Case,,,,,,,D
Department of Health & Human Services,1000000,,H,Schneider,,,,,,,D
Department of Health & Human Services,1000000,,H,Meuser,,,,,,,R
Department of Health & Human Services,950000,,H,Crow,,,,,,,D
Department of Health & Human Services,2000000,,H,Crist,,,,,,,D
Department of Health & Human Services,600000,,H,Calvert,,,,,,,R
Department of Health & Human Services,2000000,,H,Meeks,,,,,,,D
Department of Health & Human Services,260000,,H,Katko,,,,,,,R
Department of Health & Human Services,775000,,H,Schiff,,,,,,,D
Department of Health & Human Services,200000,,H,Fitzpatrick,,,,,,,R
Department of Health & Human Services,500000,,H,Auchincloss,,,,,,,D
Department of Health & Human Services,500000,,H,Bergman,,,,,,,R
Department of Health & Human Services,400000,,H,Lawrence,,,,,,,D
Department of Health & Human Services,925000,,H,Hoyer,,,,,,,D
Department of Health & Human Services,800000,,H,Norton,,,,,,,D
Department of Health & Human Services,1000000,,H,Cooper,,,,,,,D
Department of Health & Human Services,2000000,,H,LaHood,,,,,,,R
Department of Health & Human Services,1000000,,H,Guest,,,,,,,R
Department of Health & Human Services,2000000,,H,Cleaver,,,,,,,D
Department of Health & Human Services,455000,,H,Reschenthaler,,,,,,,R
Department of Health & Human Services,2000000,,H,Kaptur,,,,,,,D
Department of Health & Human Services,105000,,H,Rutherford,,,,,,,R
Department of Health & Human Services,800000,,H,Meng,,,,,,,D
Department of Health & Human Services,760000,,H,Payne,,,,,,,D
Department of Health & Human Services,275000,,H,Quigley,,,,,,,D
Department of Health & Human Services,650000,,H,Cole,,,,,,,R
Department of Health & Human Services,500000,,H,Slotkin,,,,,,,D
Department of Health & Human Services,2000000,,H,Horsford,,,,,,,D
Department of Health & Human Services,2000000,,H,Malliotakis,,,,,,,R
Department of Health & Human Services,2000000,,H,Lucas,,,,,,,R
Department of Health & Human Services,700000,,H,LaHood,,,,,,,R
Department of Health & Human Services,250000,,H,Keating,,,,,,,D
Department of Health & Human Services,500000,,H,Wasserman Schultz,,,,,,,D
Department of Health & Human Services,2000000,,H,Buchanan,,,,,,,R
Department of Health & Human Services,500000,,H,Houlahan,,,,,,,D
Department of Health & Human Services,600000,,H,Bass,,,,,,,D
Department of Health & Human Services,1600000,,H,Huffman,,,,,,,D
Department of Health & Human Services,450000,,H,Strickland,,,,,,,D
Department of Health & Human Services,100000,,H,Axne,,,,,,,D
Department of Health & Human Services,200000,,H,Hinson,,,,,,,R
Department of Health & Human Services,800000,,H,Schrader,,,,,,,D
Department of Health & Human Services,1850000,,H,Meng,,,,,,,D
Department of Health & Human Services,600000,,H,Lieu,,,,,,,D
Department of Health & Human Services,550000,,H,Jayapal,,,,,,,D
Department of Health & Human Services,1000000,,H,Cohen,,,,,,,D
Department of Health & Human Services,500000,,H,Beatty,,,,,,,D
Department of Health & Human Services,900000,,H,Langevin,,,,,,,D
Department of Health & Human Services,500000,,H,Norcross,,,,,,,D
Department of Health & Human Services,375000,,H,Aguilar,,,,,,,D
Department of Health & Human Services,1000000,,H,Pascrell,,,,,,,D
Department of Health & Human Services,500000,,H,Bush,,,,,,,D
Department of Health & Human Services,1050000,,H,Doggett,,,,,,,D
Department of Health & Human Services,520000,,H,Curtis,,,,,,,R
Department of Health & Human Services,300000,,H,Perlmutter,,,,,,,D
Department of Health & Human Services,400000,,H,Hayes,,,,,,,D
Department of Health & Human Services,750000,,H,LaMalfa,,,,,,,R
Department of Health & Human Services,250000,,H,DelBene,,,,,,,D
Department of Health & Human Services,505000,,H,Upton,,,,,,,R
Department of Health & Human Services,2000000,,H,Meeks,,,,,,,D
Department of Health & Human Services,2000000,,H,Meeks,,,,,,,D
Department of Health & Human Services,500000,,H,Walberg,,,,,,,R
Department of Health & Human Services,400000,,H,Fitzpatrick,,,,,,,R
Department of Health & Human Services,1000000,,H,Scalise,,,,,,,R
Department of Health & Human Services,2000000,,H,Foster,,,,,,,D
Department of Health & Human Services,800000,,H,Sewell,,,,,,,D
Department of Health & Human Services,600000,,H,Stanton,,,,,,,D
Department of Health & Human Services,2000000,,H,Jackson Lee,,,,,,,D
Department of Health & Human Services,1000000,,H,Newman,,,,,,,D
Department of Health & Human Services,425000,,H,Schrader,,,,,,,D
Department of Health & Human Services,1000000,,H,Pressley,,,,,,,D
Department of Health & Human Services,40000,,H,Vela,,,,,,,D
Department of Health & Human Services,300000,,H,Roybal-Allard,,,,,,,D
Department of Health & Human Services,2000000,,H,Burchett,,,,,,,R
Department of Health & Human Services,2000000,,H,Rose,,,,,,,R
Department of Health & Human Services,1000000,,H,Ryan,,,,,,,D
Department of Health & Human Services,2000000,,H,Young,,,,,,,R
Department of Health & Human Services,475000,,H,Costa,,,,,,,D
Department of Health & Human Services,950000,,H,Peters,,,,,,,D
Department of Health & Human Services,1000000,,H,Garamendi,,,,,,,D
Department of Health & Human Services,705000,,H,Rutherford,,,,,,,R
Department of Health & Human Services,225000,,H,Mrvan,,,,,,,D
Department of Health & Human Services,1000000,,H,Allred,,,,,,,D
Department of Health & Human Services,500000,,H,Kaptur,,,,,,,D
Department of Health & Human Services,375000,,H,Keating,,,,,,,D
Department of Health & Human Services,150000,,H,Chu,,,,,,,D
Department of Health & Human Services,250000,,H,Kinzinger,,,,,,,R
Department of Health & Human Services,275000,,H,Bera,,,,,,,D
Department of Health & Human Services,2000000,,H,Newhouse,,,,,,,R
Department of Health & Human Services,300000,,H,Sewell,,,,,,,D
Department of Health & Human Services,350000,,H,McKinley,,,,,,,R
Department of Health & Human Services,300000,,H,Foster,,,,,,,D
Department of Health & Human Services,2000000,,H,Nadler,,,,,,,D
Department of Health & Human Services,250000,,H,Krishnamoorthi,,,,,,,D
Department of Health & Human Services,500000,,H,Garamendi,,,,,,,D
Department of Health & Human Services,2000000,,H,Adams,,,,,,,D
Department of Health & Human Services,600000,,H,Yarmuth,,,,,,,D
Department of Health & Human Services,140000,,H,Krishnamoorthi,,,,,,,D
Department of Health & Human Services,475000,,H,Long,,,,,,,R
Department of Health & Human Services,985000,,H,Garamendi,,,,,,,D
Department of Health & Human Services,1500000,,H,Buchanan,,,,,,,R
Department of Health & Human Services,390000,,H,Beyer,,,,,,,D
Department of Health & Human Services,1300000,,H,Bush,,,,,,,D
Department of Health & Human Services,1150000,,H,Welch,,,,,,,D
Department of Health & Human Services,800000,,H,Bush,,,,,,,D
Department of Health & Human Services,210000,,H,Norton,,,,,,,D
Department of Health & Human Services,100000,,H,Aguilar,,,,,,,D
Department of Health & Human Services,560000,,H,Napolitano,,,,,,,D
Department of Health & Human Services,2000000,,H,Cuellar,,,,,,,D
Department of Health & Human Services,500000,,H,Calvert,,,,,,,R
Department of Health & Human Services,2000000,,H,Eshoo,,,,,,,D
Department of Health & Human Services,600000,,H,Bush,,,,,,,D
Department of Health & Human Services,750000,,H,Espaillat,,,,,,,D
Department of Health & Human Services,650000,,H,Scanlon,,,,,,,D
Department of Health & Human Services,700000,,H,Moulton,,,,,,,D
Department of Health & Human Services,1000000,,H,Jackson Lee,,,,,,,D
Department of Health & Human Services,200000,,H,Neal,,,,,,,D
Department of Health & Human Services,175000,,H,Norcross,,,,,,,D
Department of Health & Human Services,30000,,H,McBath,,,,,,,D
Department of Health & Human Services,750000,,H,Kildee,,,,,,,D
Department of Health & Human Services,400000,,H,Eshoo,,,,,,,D
Department of Health & Human Services,270000,,H,Dean,,,,,,,D
Department of Health & Human Services,250000,,H,Dean,,,,,,,D
Department of Health & Human Services,2000000,,H,Sherman,,,,,,,D
Department of Health & Human Services,160000,,H,Speier,,,,,,,D
Department of Health & Human Services,350000,,H,Underwood,,,,,,,D
Department of Health & Human Services,500000,,H,Newman,,,,,,,D
Department of Health & Human Services,350000,,H,Nadler,,,,,,,D
Department of Health & Human Services,620000,,H,Barr,,,,,,,R
Department of Health & Human Services,50000,,H,Herrera Beutler,,,,,,,R
Department of Health & Human Services,300000,,H,Sherrill,,,,,,,D
Department of Health & Human Services,500000,,H,Crist,,,,,,,D
Department of Health & Human Services,275000,,H,Neguse,,,,,,,D
Department of Health & Human Services,265000,,H,Morelle,,,,,,,D
Department of Health & Human Services,380000,,H,Kuster,,,,,,,D
Department of Health & Human Services,260000,,H,Stevens,,,,,,,D
Department of Health & Human Services,1000000,,H,Cole,,,,,,,R
Department of Health & Human Services,300000,,H,Demings,,,,,,,D
Department of Health & Human Services,250000,,H,Katko,,,,,,,R
Department of Health & Human Services,350000,,H,Schiff,,,,,,,D
Department of Health & Human Services,1000000,,H,Chu,,,,,,,D
Department of Health & Human Services,625000,,H,Takano,,,,,,,D
Department of Health & Human Services,210000,,H,Jayapal,,,,,,,D
Department of Health & Human Services,850000,,H,Soto,,,,,,,D
Department of Health & Human Services,525000,,H,Pelosi,,,,,,,D
Department of Health & Human Services,400000,,H,Deutch,,,,,,,D
Department of Health & Human Services,125000,,H,Courtney,,,,,,,D
Department of Health & Human Services,100000,,H,Neal,,,,,,,D
Department of Health & Human Services,300000,,H,Bustos,,,,,,,D
Department of Health & Human Services,600000,,H,Pelosi,,,,,,,D
Department of Health & Human Services,500000,,H,Lofgren,,,,,,,D
Department of Health & Human Services,300000,,H,Khanna,,,,,,,D
Department of Health & Human Services,15000,,H,Meng,,,,,,,D
Department of Health & Human Services,975000,,H,Pelosi,,,,,,,D
Department of Health & Human Services,2000000,,H,Doggett,,,,,,,D
Department of Health & Human Services,1850000,,H,Cartwright,,,,,,,D
Department of Health & Human Services,1000000,,H,Sherman,,,,,,,D
Department of Health & Human Services,450000,,H,Dean,,,,,,,D
Department of Health & Human Services,450000,,H,Crow,,,,,,,D
Department of Health & Human Services,650000,,H,Deutch,,,,,,,D
Department of Health & Human Services,400000,,H,Wild,,,,,,,D
Department of Health & Human Services,430000,,H,McGovern,,,,,,,D
Department of Health & Human Services,340000,,H,Krishnamoorthi,,,,,,,D
Department of Health & Human Services,475000,,H,Trone,,,,,,,D
Department of Health & Human Services,500000,,H,Fitzpatrick,,,,,,,R
Department of Education,900000,,H,Luria,,,,,,,D
Department of Education,1450000,,H,Houlahan,,,,,,,D
Department of Education,300000,,H,Stanton,,,,,,,D
Department of Education,1500000,,H,McEachin,,,,,,,D
Department of Education,1000000,,H,Dingell,,,,,,,D
Department of Education,125000,,H,Horsford,,,,,,,D
Department of Education,250000,,H,Schiff,,,,,,,D
Department of Education,250000,,H,Casten,,,,,,,D
Department of Education,1000000,,H,Lowenthal,,,,,,,D
Department of Education,100000,,H,Morelle,,,,,,,D
Department of Education,500000,,H,Deutch,,,,,,,D
Department of Education,500000,,H,Lowenthal,,,,,,,D
Department of Education,500000,,H,Quigley,,,,,,,D
Department of Education,500000,,H,Rush,,,,,,,D
Department of Education,500000,,H,Schakowsky,,,,,,,D
Department of Education,500000,,H,Newman,,,,,,,D
Department of Education,50000,,H,Newman,,,,,,,D
Department of Education,300000,,H,Roybal-Allard,,,,,,,D
Department of Education,65000,,H,Rush,,,,,,,D
Department of Education,350000,,H,Sablan,,,,,,,D
Department of Education,150000,,H,Sablan,,,,,,,D
Department of Education,150000,,H,Sablan,,,,,,,D
Department of Education,80000,,H,Raskin,,,,,,,D
Department of Education,900000,,H,DeSaulnier,,,,,,,D
Department of Education,150000,,H,Underwood,,,,,,,D
Department of Education,250000,,H,Demings,,,,,,,D
Department of Education,250000,,H,Casten,,,,,,,D
Department of Education,300000,,H,Dingell,,,,,,,D
Department of Education,350000,,H,Meeks,,,,,,,D
Department of Education,50000,,H,Lowenthal,,,,,,,D
Department of Education,600000,,H,Schakowsky,,,,,,,D
Department of Education,750000,,H,Bourdeaux,,,,,,,D
Department of Education,400000,,H,Womack,,,,,,,R
Department of Education,1000000,,H,Kildee,,,,,,,D
Department of Education,650000,,H,Wexton,,,,,,,D
Department of Education,150000,,H,Courtney,,,,,,,D
Department of Education,2000000,,H,Manning,,,,,,,D
Department of Education,775000,,H,Bourdeaux,,,,,,,D
Department of Education,25000,,H,Schakowsky,,,,,,,D
Department of Education,1150000,,H,Cartwright,,,,,,,D
Department of Education,2000000,,H,Dingell,,,,,,,D
Department of Education,550000,,H,Lawrence,,,,,,,D
Department of Education,1000000,,H,Jackson Lee,,,,,,,D
Department of Education,500000,,H,Payne,,,,,,,D
Department of Education,500000,,H,Bustos,,,,,,,D
Department of Education,900000,,H,Meijer,,,,,,,R
Department of Education,50000,,H,Hinson,,,,,,,R
Department of Education,150000,,H,Rush,,,,,,,D
Department of Education,615000,,H,Nehls,,,,,,,R
Department of Education,625000,,H,Costa,,,,,,,D
Department of Education,850000,,H,Ryan,,,,,,,D
Department of Education,250000,,H,Keating,,,,,,,D
Department of Education,250000,,H,Neal,,,,,,,D
Department of Education,2000000,,H,Titus,,,,,,,D
Department of Education,125000,,H,Sherman,,,,,,,D
Department of Education,2000000,,H,DeLauro,,,,,,,D
Department of Education,345000,,H,Harshbarger,,,,,,,R
Department of Education,200000,,H,Dean,,,,,,,D
Department of Education,350000,,H,Ross,,,,,,,D
Department of Education,800000,,H,Lynch,,,,,,,D
Department of Education,500000,,H,Beatty,,,,,,,D
Department of Education,275000,,H,Pressley,,,,,,,D
Department of Education,1000000,,H,Takano,,,,,,,D
Department of Education,50000,,H,Schakowsky,,,,,,,D
Department of Education,80000,,H,Krishnamoorthi,,,,,,,D
Department of Education,450000,,H,Soto,,,,,,,D
Department of Education,375000,,H,Schakowsky,,,,,,,D
Department of Education,450000,,H,Kilmer,,,,,,,D
Department of Education,900000,,H,Allred,,,,,,,D
Department of Education,650000,,H,Kildee,,,,,,,D
Department of Education,100000,,H,Schakowsky,,,,,,,D
Department of Education,1250000,,H,Kaptur,,,,,,,D
Department of Education,100000,,H,Pressley,,,,,,,D
Department of Education,200000,,H,Himes,,,,,,,D
Department of Education,400000,,H,Aderholt,,,,,,,R
Department of Education,550000,,H,Watson Coleman,,,,,,,D
Department of Education,450000,,H,Manning,,,,,,,D
Department of Education,575000,,H,Wild,,,,,,,D
Department of Education,1100000,,H,Sherrill,,,,,,,D
Department of Education,1500000,,H,Manning,,,,,,,D
Department of Education,300000,,H,Jeffries,,,,,,,D
Department of Education,225000,,H,Krishnamoorthi,,,,,,,D
Department of Education,1000000,,H,Jeffries,,,,,,,D
Department of Education,1200000,,H,Lofgren,,,,,,,D
Department of Education,500000,,H,Krishnamoorthi,,,,,,,D
Department of Education,300000,,H,Walberg,,,,,,,R
Department of Education,250000,,H,Lowenthal,,,,,,,D
Department of Education,2000000,,H,Meuser,,,,,,,R
Department of Education,675000,,H,Womack,,,,,,,R
Department of Education,700000,,H,Doggett,,,,,,,D
Department of Education,1000000,,H,Sessions,,,,,,,R
Department of Education,1000000,,H,Yarmuth,,,,,,,D
Department of Education,300000,,H,Pressley,,,,,,,D
Department of Education,350000,,H,Neal,,,,,,,D
Department of Education,250000,,H,Brownley,,,,,,,D
Department of Education,250000,,H,Matsui,,,,,,,D
Department of Education,325000,,H,Lofgren,,,,,,,D
Department of Education,1000000,,H,Correa,,,,,,,D
Department of Education,400000,,H,Cohen,,,,,,,D
Department of Education,550000,,H,Roybal-Allard,,,,,,,D
Department of Education,550000,,H,Hoyer,,,,,,,D
Department of Education,200000,,H,Chu,,,,,,,D
Department of Education,505000,,H,Barr,,,,,,,R
Department of Education,350000,,H,Waters,,,,,,,D
Department of Education,1850000,,H,Reed,,,,,,,R
Department of Education,1450000,,H,Bourdeaux,,,,,,,D
Department of Education,900000,,H,Upton,,,,,,,R
Department of Education,2000000,,H,Letlow,,,,,,,R
